STN,CMP,NetCode,Latitude,Longitude,Elevation,BuiltDate,Instrument,Digitizer,SerialNum,PeriodSec,NrmFac,VelOut,VPC,Sens,Const,nPoles,nZeros,Pole1,Pole2,Pole3,Pole4,Pole5,Pole6,Pole7,Pole8,Pole9,Pole10,Pole11,Pole12,Pole13,Pole14,Pole15,Zero1,Zero2,Zero3,Zero4,Zero5,Zero6,Zero7,Zero8,Zero9,Zero10,Zero11,Zero12,Zero13,Zero14,Zero15,Truns,OutDate,Status,PermTemp,Modifier
ADVT,BHE,KO,40.4332,29.7383,193,20060519,3ESP,CMG-DM24,T3Y19/A524,120,2.304000E06,5682,3.153E-06,5.549103E-10,4.152022E+15,5,2,-0.00589-j0.00589,-0.00589+j0.00589,-180j0,-160j0,-80j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,HZ,OnSite,OPEN,PERM,Mehmet Özer
ADVT,BHN,KO,40.4332,29.7383,193,20060519,3ESP,CMG-DM24,T3Y19/A524,120,2.304000E06,5974,3.174E-06,5.313023E-10,4.336514E+15,5,2,-0.00589-j0.00589,-0.00589+j0.00589,-180j0,-160j0,-80j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,HZ,OnSite,OPEN,PERM,Mehmet Özer
ADVT,BHZ,KO,40.4332,29.7383,193,20060519,3ESP,CMG-DM24,T3Y19/A524,120,2.304000E06,5964,3.159E-06,5.296781E-10,4.349812E+15,5,2,-0.00589-j0.00589,-0.00589+j0.00589,-180j0,-160j0,-80j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,HZ,OnSite,OPEN,PERM,Mehmet Özer
ADVT,HHE,KO,40.4332,29.7383,193,20060519,3ESP,CMG-DM24,T3Y19/A524,120,2.304000E06,5682,3.153E-06,5.549103E-10,4.152022E+15,5,2,-0.00589-j0.00589,-0.00589+j0.00589,-180j0,-160j0,-80j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,HZ,OnSite,OPEN,PERM,Mehmet Özer
ADVT,HHN,KO,40.4332,29.7383,193,20060519,3ESP,CMG-DM24,T3Y19/A524,120,2.304000E06,5974,3.174E-06,5.313023E-10,4.336514E+15,5,2,-0.00589-j0.00589,-0.00589+j0.00589,-180j0,-160j0,-80j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,HZ,OnSite,OPEN,PERM,Mehmet Özer
ADVT,HHZ,KO,40.4332,29.7383,193,20060519,3ESP,CMG-DM24,T3Y19/A524,120,2.304000E06,5964,3.159E-06,5.296781E-10,4.349812E+15,5,2,-0.00589-j0.00589,-0.00589+j0.00589,-180j0,-160j0,-80j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,HZ,OnSite,OPEN,PERM,Mehmet Özer
AFSR,BHE,KO,39.4468,33.0707,1055,20080905,3ESP,CMG-DM24,T3G51/D677,30,2.304000E06,2983,1.283E-06,4.301039E-10,5.356845E15,5,2,-0.02365-j0.02365,-0.02365+j0.02365,-180j0,-160j0,-80j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,HZ,OnSite,OPEN,PERM,Mehmet Yılmazer
AFSR,BHN,KO,39.4468,33.0707,1055,20080905,3ESP,CMG-DM24,T3G51/D677,30,2.304000E06,3022,1.280E-06,4.235606E-10,5.439599E15,5,2,-0.02365-j0.02365,-0.02365+j0.02365,-180j0,-160j0,-80j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,HZ,OnSite,OPEN,PERM,Mehmet Yılmazer
AFSR,BHZ,KO,39.4468,33.0707,1055,20080905,3ESP,CMG-DM24,T3G51/D677,30,2.304000E06,2990,1.276E-06,4.267559E-10,5.398871E15,5,2,-0.02365-j0.02365,-0.02365+j0.02365,-180j0,-160j0,-80j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,HZ,OnSite,OPEN,PERM,Mehmet Yılmazer
AFSR,HHE,KO,39.4468,33.0707,1055,20080905,3ESP,CMG-DM24,T3G51/D677,30,2.304000E06,2983,1.283E-06,4.301039E-10,5.356845E15,5,2,-0.02365-j0.02365,-0.02365+j0.02365,-180j0,-160j0,-80j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,HZ,OnSite,OPEN,PERM,Mehmet Yılmazer
AFSR,HHN,KO,39.4468,33.0707,1055,20080905,3ESP,CMG-DM24,T3G51/D677,30,2.304000E06,3022,1.280E-06,4.235606E-10,5.439599E15,5,2,-0.02365-j0.02365,-0.02365+j0.02365,-180j0,-160j0,-80j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,HZ,OnSite,OPEN,PERM,Mehmet Yılmazer
AFSR,HHZ,KO,39.4468,33.0707,1055,20080905,3ESP,CMG-DM24,T3G51/D677,30,2.304000E06,2990,1.276E-06,4.267559E-10,5.398871E15,5,2,-0.02365-j0.02365,-0.02365+j0.02365,-180j0,-160j0,-80j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,HZ,OnSite,OPEN,PERM,Mehmet Yılmazer
AGRB,BHE,KO,39.5755,42.9920,1820,20061121,3T,CMG-DM24,T3Z08/A646,120,2.304000E06,5974,3.196E-06,5.349849E-10,4.306664E15,5,2,-0.00589-j0.00589,-0.00589+j0.00589,-180j0,-160j0,-80j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,0j0,HZ,OnSite,OPEN,PERM,Mehmet Yılmazer
