Search Parameters,Year,Mo,Dy,Hr,Mn,Sec,Tsunami Event Validity,Tsunami Cause Code,Earthquake Magnitude,Vol,More Info,Deposits,Country,Location Name,Latitude,Longitude,Maximum Water Height (m),Number of Runups,Tsunami Magnitude (Abe),Tsunami Magnitude (Iida),Tsunami Intensity,Deaths,Death Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Houses Damaged,Houses Damaged Description,Total Deaths,Total Death Description,Total Missing,Total Missing Description,Total Injuries,Total Injuries Description,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Destroyed Description,Total Houses Damaged,Total Houses Damaged Description
"[""2022 <= Year >= 2023""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022,1,13,,,,4,6,,,,0,TONGA,TONGA ISLANDS,-20.536,-175.382,0.15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022,1,15,4,14,45,4,6,,7551,,0,TONGA,TONGA ISLANDS,-20.536,-175.382,22,661,,,,6,1,,,20,1,,4,284,3,182,3,6,1,,,20,1,107.768,4,284,3,182,3
,2022,1,16,,,,4,6,,,,0,TONGA,TONGA ISLANDS,-20.536,-175.382,0.36,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022,1,29,2,46,39,4,1,6.5,,,0,NEW ZEALAND,KERMADEC ISLANDS,-29.531,-176.749,0.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022,3,16,14,36,33,4,1,7.3,,,0,JAPAN,OFF FUKUSHIMA PREFECTURE,37.702,141.587,0.3,5,,,,,,,,,,,,,,,,4,1,,,247,3,8800,4,217,3,56718,4
,2022,3,30,20,56,58,4,1,6.9,,,0,NEW CALEDONIA,LOYALTY ISLANDS,-22.716,170.286,0.07,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022,3,31,5,44,1,4,1,7,,,0,NEW CALEDONIA,LOYALTY ISLANDS,-22.579,170.354,0.05,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022,5,25,21,43,2,3,1,5.5,,,0,MEXICO,S. MEXICO,16.325,-95.856,0.24,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022,6,29,14,15,,0,8,,,,0,CHILE,TODOS LOS SANTOS LAKE,-41.142,-72.396,0.8,1,,,,,,,,,,,1,,,,,,,,,,,,1,,,,
,2022,7,27,0,43,24,4,1,7,,,0,PHILIPPINES,N. LUZON ISLAND,17.56,120.801,0.08,1,,,,,,,,,,,,,,,,11,1,,,609,3,48.48,4,856,3,35924,4
,2022,9,19,18,5,6,4,1,7.6,,,0,MEXICO,MEXICO,18.367,-103.252,0.79,14,,,,,,,,,,,,,,,,2,1,,,10,1,25,4,800,3,6084,4
,2022,9,22,6,16,9,2,1,6.8,,,0,MEXICO,S. MEXICO,18.308,-102.923,0.09,3,,,,,,,,,,,,,,,,2,1,,,3,1,,2,,,,
,2022,10,9,7,23,,4,6,,7557,,0,ITALY,STROMBOLI ISLAND,38.789,15.213,0.04,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022,11,11,10,48,45,4,1,7.3,,,0,TONGA,TONGA ISLANDS,-19.318,-172.1,0.12,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022,11,22,2,3,7,4,1,7,,,0,SOLOMON ISLANDS,SOLOMON ISLANDS,-9.812,159.596,0.03,1,,,,,,,,,,,,,,,,,,,,3,1,,2,,1,,
,2022,11,30,10,48,0,0,1,5.4,,,0,NEW ZEALAND,"LAKE TAUPO, NORTH ISLAND",-38.808,175.906,1,4,,,,,,,,,,,1,,,,,,,,,,,,1,,,,
,2022,12,4,,,,4,6,,7558,,0,ITALY,STROMBOLI ISLAND,38.789,15.213,0.75,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023,1,9,17,47,35,4,1,7.6,,,0,INDONESIA,SOUTH MALUKU,-7.049,130.038,0.09,2,,,,,,,,,,,,,,,,,,,,,,,2,37,1,327,3
,2023,2,6,1,17,35,4,1,7.8,,,0,TURKEY,GULF OF ISKENDERUN,37.166,37.042,0.25,5,,,,,,,,,,,,,,,,51882,4,,,119200,4,39300,4,166581,4,,4
,2023,3,16,0,56,2,4,1,7,,,0,KERMADEC ISLANDS,"SE RAOUL ISLAND, KERMADEC ISLANDS",-30.115,-176.112,0.11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
